Region.Name	Uncertainty.Bounds*	1990.5	1991.5	1992.5	1993.5	1994.5	1995.5	1996.5	1997.5	1998.5	1999.5	2000.5	2001.5	2002.5	2003.5	2004.5	2005.5	2006.5	2007.5	2008.5	2009.5	2010.5	2011.5	2012.5	2013.5	2014.5	2015.5	2016.5	2017.5	2018.5	2019.5
Sub-Saharan Africa	Lower	1465536	1482146	1498646	1517069	1556163	1553232	1540973	1544552	1541034	1517047	1491764	1460984	1425678	1387347	1347584	1308921	1270270	1229070	1185784	1139940	1095854	1056171	1017328	980939	950148	921367	888041	859477	828968	800724
Sub-Saharan Africa	Median	1499562	1516374	1533058	1551075	1590758	1587873	1574957	1578661	1575661	1552012	1526725	1496608	1460955	1422740	1383389	1344824	1306467	1266442	1225012	1181181	1140493	1103799	1069846	1037209	1010934	986213	957062	932981	907581	882687
Sub-Saharan Africa	Upper	1537198	1554221	1571123	1588834	1629897	1627860	1615642	1619488	1616615	1593093	1568021	1537408	1502224	1464448	1425653	1387665	1350075	1312590	1274228	1234868	1199498	1169185	1141043	1118195	1101488	1089655	1074500	1066388	1059902	1054581
West and Central Africa	Lower	791843	801453	811380	821642	830277	836334	839612	840270	837927	831815	822827	810751	796401	780006	763178	745507	727602	710129	692853	676337	660665	645462	631527	616920	603499	590116	570803	553348	533568	512022
West and Central Africa	Median	821036	830862	840778	850519	859355	865872	869587	870488	868133	862101	853208	841787	827332	811174	793981	776942	759720	743171	728051	713149	700033	688172	678492	668984	661237	652171	639179	626743	612428	597953
West and Central Africa	Upper	851469	861498	871948	882010	891412	898407	903109	903720	901279	895512	886634	875302	861397	845592	828697	811649	795478	780848	768183	756699	747578	740199	735805	733106	734887	737779	738349	739006	741578	744098
Eastern and Southern Africa	Lower	660161	666947	673580	681692	711789	702831	686741	689502	688583	670895	654861	636253	614969	592745	570576	548894	527609	503611	476507	446404	417403	391405	365729	340792	321449	305278	288615	276584	264930	253980
Eastern and Southern Africa	Median	678526	685512	692280	700556	731403	722001	705370	708173	707528	689911	673517	654821	633623	611566	589408	567882	546747	523271	496961	468032	440460	415627	391354	368225	349697	334042	317883	306238	295153	284734
Eastern and Southern Africa	Upper	699155	706666	713841	722356	754247	744690	727867	731216	730585	712851	696335	677591	656566	634465	612438	591216	570476	548371	524051	497514	473186	451823	430671	410438	395717	384341	371730	364493	358129	353240
Middle East and North Africa	Lower	123488	116287	109086	102115	95287	88750	82556	76770	71292	66271	61673	57501	53797	50487	47580	45001	42732	40725	38951	37509	36366	35916	36133	35911	35521	35318	34146	32980	32172	30621
Middle East and North Africa	Median	127863	120560	113175	106033	98973	92221	85869	79918	74362	69185	64449	60156	56346	52971	50021	47393	45103	43104	41346	39933	38979	38776	39330	39552	39568	40039	39289	38606	38622	37561
Middle East and North Africa	Upper	133223	125726	118192	110837	103442	96319	89735	83646	77888	72581	67683	63259	59338	55908	52921	50318	48012	45997	44325	43053	42284	42422	43584	44537	45508	47416	47756	48499	50543	51134
South Asia	Lower	1335139	1294883	1253793	1213398	1171743	1128701	1084840	1040552	994630	947348	900504	854034	808694	764731	725468	678764	637027	596973	557948	520133	482748	446367	411399	378073	346286	316910	289577	264792	242198	222288
South Asia	Median	1378123	1336816	1295455	1254124	1211759	1168099	1123170	1077605	1031457	984489	936850	889816	844033	799271	759447	712437	669951	628318	587058	546672	507540	469638	433269	399012	367069	338169	311756	288069	267142	248596
